id,loc,cnty,lon,lat,elev
738,hadlow-college,kent,0.33,51.223,27
741,gravesend-no-2,kent,0.374,51.445,20
743,langdon-bay,kent,1.343,51.134,117
744,east-malling,kent,0.448,51.288,33
752,sheerness,kent,0.744,51.447,25
753,isle-of-grain,kent,0.703,51.442,3
755,lydd-ranges,kent,0.889,50.937,1
757,faversham,kent,0.878,51.297,46
758,dungeness,kent,0.972,50.913,6
759,lydd-ashford-airport,kent,0.94,50.959,13
760,wye,kent,0.945,51.185,56
764,folkestone-tml,kent,1.119,51.09,67
765,herne-bay-no-2,kent,1.135,51.358,40
770,dover,kent,1.314,51.121,6
771,dover-no-2,kent,1.342,51.121,6
774,deal,kent,1.403,51.232,2
775,manston,kent,1.335,51.347,49
779,thorney-island,west-sussex,-0.922,50.815,4
782,bognor-regis,west-sussex,-0.677,50.782,7
787,rustington,west-sussex,-0.518,50.821,3
794,shoreham-by-sea,west-sussex,-0.249,50.827,15
795,shoreham-airport,west-sussex,-0.294,50.836,2
798,brighton-marina,east-sussex,-0.108,50.814,3
799,newhaven,east-sussex,0.057,50.782,5
803,plumpton,east-sussex,-0.071,50.906,76
808,eastbourne,east-sussex,0.283,50.759,15
810,herstmonceux,east-sussex,0.336,50.865,18
811,herstmonceux-west-end,east-sussex,0.317,50.891,52
812,bexhill,east-sussex,0.464,50.838,4
816,brede,east-sussex,0.593,50.939,82
818,hastings,east-sussex,0.57,50.856,45
819,lambourn,berkshire,-1.49,51.533,192
822,abingdon,oxfordshire,-1.308,51.689,69
825,wallingford,oxfordshire,-1.113,51.603,47
830,reading-university-whiteknights,berkshire,-0.938,51.441,66
838,bracknell-beaufort-park,berkshire,-0.786,51.39,74
842,hurn,dorset,-1.836,50.779,10
843,bournemouth-kings-park,dorset,-1.824,50.734,27
844,ibsley,hampshire,-1.772,50.884,27
846,everton,hampshire,-1.575,50.742,16
847,middle-wallop,hampshire,-1.57,51.15,90
850,southampton,hampshire,-1.404,50.901,19
853,calshot,hampshire,-1.307,50.82,2
855,otterbourne-w-wks,hampshire,-1.335,51.009,34
858,solent,hampshire,-1.211,50.808,9
859,martyr-worthy,hampshire,-1.263,51.103,85
860,kingsclere-strattons-farm,hampshire,-1.265,51.344,102
862,odiham,hampshire,-0.945,51.239,118
863,hayling-island,hampshire,-0.986,50.785,4
865,butser-windmill-hill,hampshire,-0.976,50.944,92
867,long-sutton,hampshire,-0.93,51.213,145
868,alice-holt-lodge,hampshire,-0.85,51.178,115
869,south-farnborough,hampshire,-0.773,51.28,65
876,wight-st-catherines-point,isle-of-wight,-1.297,50.576,20
877,wight-ventnor-park,isle-of-wight,-1.213,50.593,60
882,netheravon,wiltshire,-1.766,51.244,129
886,lyneham,wiltshire,-1.992,51.503,145
888,larkhill,wiltshire,-1.806,51.202,132
889,boscombe-down,wiltshire,-1.755,51.162,126
892,porton,wiltshire,-1.701,51.128,111
896,orsay,argyll-in-strathclyde-region,-6.511,55.674,23
898,colonsay-hotel,argyll-in-strathclyde-region,-6.195,56.069,15
900,aros,argyll-in-strathclyde-region,-5.981,56.536,37
908,machrihanish,argyll-in-strathclyde-region,-5.697,55.441,10
916,lephinmore,argyll-in-strathclyde-region,-5.24,56.084,9
917,knapdale-forest-no-2,argyll-in-strathclyde-region,-5.482,56.059,12
918,dunstaffnage,argyll-in-strathclyde-region,-5.44,56.45,3
926,benmore-younger-botanic-garden,argyll-in-strathclyde-region,-4.985,56.028,12
928,ardentinny,argyll-in-strathclyde-region,-4.914,56.046,5
930,black-mount,argyll-in-strathclyde-region,-4.796,56.545,175
939,bute-rothesay,buteshire,-5.064,55.839,43
940,gt-cumbrae-millport,buteshire,-4.908,55.749,5
944,helensburgh-no-2,dunbartonshire,-4.724,56.016,96
949,gartocharn-portnellan-farm,dunbartonshire,-4.567,56.048,40
950,arrochymore,stirling-in-central-region,-4.549,56.093,30
952,inchterf,dunbartonshire,-4.119,55.958,40
953,cumbernauld,dunbartonshire,-3.969,55.961,94
954,mugdock-park,stirling-in-central-region,-4.33,55.973,165
960,falkirk-s-wks,stirling-in-central-region,-3.763,56.018,3
968,paisley,renfrewshire,-4.431,55.845,32
970,renfrew,renfrewshire,-4.386,55.867,8
973,drumclog,lanarkshire,-4.201,55.627,227
978,east-kilbride-no-2,lanarkshire,-4.172,55.755,178
981,coatbridge,lanarkshire,-4.056,55.855,66
982,salsburgh,lanarkshire,-3.875,55.861,277
984,lowther-hill,lanarkshire,-3.753,55.378,754
987,drumalbin,lanarkshire,-3.736,55.627,245
990,abington,lanarkshire,-3.692,55.489,247
991,carnwath,lanarkshire,-3.634,55.7,208
995,ardrossan,ayrshire,-4.82,55.642,4
996,hunterston-no-3,ayrshire,-4.893,55.723,8
1005,auchincruive,ayrshire,-4.565,55.477,48
